nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.01,5.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1750000,0,1750000,0,0,0,0,0,0,0,0,0,0,1750000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.01,5.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6233400,0,6233400,0,0,0,0,0,0,0,0,0,0,6233400,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.01,5.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,14309450,0,14309450,0,0,0,0,0,0,0,0,0,0,14309450,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.01,5.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,4000000,0,4000000,0,0,0,0,0,0,0,0,0,0,4000000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.01,5.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,46004000,0,46004000,0,0,0,0,0,0,0,0,0,0,46004000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.01,5.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2700000,0,2700000,0,0,0,0,0,0,0,0,0,0,2700000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.02,5.03.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2064600,2064600,0,0,0,0,0,0,0,0,0,0,0,2064600,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.02,5.03.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1497550,1497550,0,0,0,0,0,0,0,0,0,0,0,1497550,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.02,5.03.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2340000,2340000,0,0,0,0,0,0,0,0,0,0,0,2340000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.03,5.03.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1976900,0,0,0,0,0,0,1976900,0,0,0,0,0,1976900,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.03,5.03.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1500000,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.03,5.03.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,150000,0,0,0,0,0,0,150000,0,0,0,0,0,150000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.03,5.03.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2380000,0,0,0,0,0,0,2380000,0,0,0,0,0,2380000,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.04,5.03.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2590300,2590300,0,0,0,0,0,0,0,0,0,0,0,2590300,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.04,5.03.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2209650,2209650,0,0,0,0,0,0,0,0,0,0,0,2209650,0,
5.03 KEPEGAWAIAN,5.03,01.0001 Sekretariat BKPP,5.03.5.04.0.00.01.0001,Sekretariat BKPP,5.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.03.01.2.01.04,5.03.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2700000,2700000,0,0,0,0,0,0,0,0,0,0,0,2700000,0,
