nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,42301750,0,38700000,0,0,0,0,0,0,3601750,0,0,0,42301750,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,16784200,0,7022000,0,4200000,0,0,0,0,0,1400000,4162200,0,16784200,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,40000000,0,0,20000000,0,0,10000000,0,0,10000000,0,0,0,40000000,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,9600000,0,9600000,0,0,0,0,0,0,0,0,0,0,9600000,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663345,31960162,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,47760000,0,47760000,0,0,0,0,0,0,0,0,0,0,47760000,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.01,1.05.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,17805000,0,17805000,0,0,0,0,0,0,0,0,0,0,17805000,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.02,1.05.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3655550,0,0,0,0,0,0,0,3655550,0,0,0,0,3655550,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.02,1.05.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5900000,0,0,0,0,0,0,0,0,0,0,5900000,0,5900000,0,
1.05 URUSAN PEMERINTAHAN BIDANG KETENTERAMAN DAN KETERTIBAN UMUM SERTA PERLINDUNGAN MASYARAKAT,1.05,02.0001 Sekretariat BPBD,1.05.0.00.0.00.02.0001,Sekretariat BPBD,1.05.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.05.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.05.01.2.01.02,1.05.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,20000000,0,0,0,0,0,0,0,0,20000000,0,0,0,20000000,0,
