nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.01,5.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,173300500,0,173300500,0,0,0,0,0,0,0,0,0,0,173300500,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.01,5.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,77756250,0,8000000,8400000,8000000,13437500,10000000,20450000,9468750,0,0,0,0,77756250,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.01,5.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,9000000,0,0,0,1200000,1800000,1200000,3000000,1800000,0,0,0,0,9000000,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.01,5.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0053 Belanja Makanan dan Minuman Jamuan Tamu,5.1.02.01.01.0053,30000000,0,15000000,15000000,0,0,0,0,0,0,0,0,0,30000000,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.01,5.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,7600000,0,3800000,3800000,0,0,0,0,0,0,0,0,0,7600000,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.01,5.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,3365000,0,0,3365000,0,0,0,0,0,0,0,0,0,3365000,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.02,5.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,72650250,0,0,72650250,0,0,0,0,0,0,0,0,0,72650250,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.02,5.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,54437500,0,0,0,6000000,8500000,0,0,0,0,20000000,8000000,11937500,54437500,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.02,5.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4200000,0,0,0,600000,600000,0,0,0,0,1200000,1800000,0,4200000,0,
5.02 KEUANGAN,5.02,02.0001 Sekretariat Bappenda,5.02.0.00.0.00.02.0001,Sekretariat Bappenda,5.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01.2.01.03,5.02.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,53724550,0,0,0,0,0,0,53724550,0,0,0,0,0,53724550,0,
