nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.01,5.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,11574450,0,11574450,0,0,0,0,0,0,0,0,0,0,11574450,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.01,5.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,9911050,0,5406250,0,0,1200000,0,0,2000000,0,1304800,0,0,9911050,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.01,5.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,29250000,2000000,9250000,4000000,0,2000000,2000000,2000000,2000000,2000000,4000000,0,0,29250000,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.01,5.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,84000000,14000000,0,10000000,0,14000000,0,20000000,0,26000000,0,0,0,84000000,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.01,5.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,197280000,0,0,0,0,0,0,197280000,0,0,0,0,0,197280000,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.02,5.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,8572700,0,0,8572700,0,0,0,0,0,0,0,0,0,8572700,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.02,5.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,8350600,0,0,2000000,0,2000000,0,0,2775600,0,1575000,0,0,8350600,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.02,5.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,6000000,0,0,2000000,0,0,2000000,0,2000000,0,0,0,0,6000000,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.03,5.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7658400,0,0,0,0,7658400,0,0,0,0,0,0,0,7658400,0,
5.01 PERENCANAAN,5.01,01.0001 Sekretariat Bappedalitbang,5.01.5.05.0.00.01.0001,Sekretariat Bappedalitbang,5.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"5.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.01.01.2.01.03,5.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,3975000,0,0,0,1575000,0,800000,0,800000,0,800000,0,0,3975000,0,
