nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.01,2.23.02.2.01.01 Pengembangan dan Pemeliharaan Layanan Perpustakaan Elektronik,5.1.02.02.09.0012 Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik,5.1.02.02.09.0012,8828550,0,0,0,0,8828550,0,0,0,0,0,0,0,8828550,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.01,2.23.02.2.01.01 Pengembangan dan Pemeliharaan Layanan Perpustakaan Elektronik,5.2.02.10.01.0002 Belanja Modal Personal Computer,5.2.02.10.01.0002,34650000,0,0,0,0,34650000,0,0,0,0,0,0,0,34650000,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.01,2.23.02.2.01.01 Pengembangan dan Pemeliharaan Layanan Perpustakaan Elektronik,5.2.02.10.02.0005 Belanja Modal Peralatan Komputer Lainnya,5.2.02.10.02.0005,5171250,0,0,0,0,5171250,0,0,0,0,0,0,0,5171250,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1200000,0,1200000,0,0,0,0,0,0,0,0,0,0,1200000,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1094850,0,0,0,1094850,0,0,0,0,0,0,0,0,1094850,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,3768550,0,0,0,3768550,0,0,0,0,0,0,0,0,3768550,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,3735000,0,1245000,0,0,0,0,1245000,1245000,0,0,0,0,3735000,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.2.02.05.01.0004 Belanja Modal Alat Penyimpan Perlengkapan Kantor,5.2.02.05.01.0004,13188600,0,13188600,0,0,0,0,0,0,0,0,0,0,13188600,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.2.02.05.02.0001 Belanja Modal Mebel,5.2.02.05.02.0001,11757600,0,11757600,0,0,0,0,0,0,0,0,0,0,11757600,0,
2.23 URUSAN PEMERINTAHAN BIDANG PERPUSTAKAAN,2.23,01.0002 Bidang Perpustakaan,2.23.2.24.0.00.01.0002,Bidang Perpustakaan,2.23.02 PROGRAM PEMBINAAN PERPUSTAKAAN,2.23.02.2.01 Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota,2.23.02.2.01.02,2.23.02.2.01.02 Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota,5.2.02.10.01.0002 Belanja Modal Personal Computer,5.2.02.10.01.0002,29395800,0,29395800,0,0,0,0,0,0,0,0,0,0,29395800,0,
