nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.01,2.22.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1800000,0,1800000,0,0,0,0,0,0,0,0,0,0,1800000,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.01,2.22.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6546250,0,3639600,2906650,0,0,0,0,0,0,0,0,0,6546250,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.01,2.22.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,14119100,0,1300000,3290800,5768750,3759550,0,0,0,0,0,0,0,14119100,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.01,2.22.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,76416000,0,76416000,0,0,0,0,0,0,0,0,0,0,76416000,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.01,2.22.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,7100000,0,3550000,3550000,0,0,0,0,0,0,0,0,0,7100000,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.02,2.22.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6103800,0,0,0,0,0,0,0,0,6103800,0,0,0,6103800,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.02,2.22.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12000000,0,0,0,0,0,0,0,0,0,6000000,6000000,0,12000000,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.04,2.22.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3755700,0,3755700,0,0,0,0,0,0,0,0,0,0,3755700,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.04,2.22.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12000000,0,6000000,6000000,0,0,0,0,0,0,0,0,0,12000000,0,
2.22 URUSAN PEMERINTAHAN BIDANG KEBUDAYAAN,2.22,01.0001 Sekretariat Disbudpar,2.22.3.26.0.00.01.0001,Sekretariat Disbudpar,2.22.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.22.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.22.01.2.01.06,2.22.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4350350,0,0,0,0,4350350,0,0,0,0,0,0,0,4350350,0,
