nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.01,1.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,31138700,0,22500000,8638700,0,0,0,0,0,0,0,0,0,31138700,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.01,1.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,6215000,0,753000,0,0,3640800,0,0,0,0,1821200,0,0,6215000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.01,1.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2800000,0,0,0,0,0,0,1400000,0,0,0,1400000,0,2800000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.01,1.02.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,89410000,0,89410000,0,0,0,0,0,0,0,0,0,0,89410000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.02,1.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,8788000,0,0,8788000,0,0,0,0,0,0,0,0,0,8788000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.02,1.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,6475000,0,0,0,0,0,0,0,0,0,0,6475000,0,6475000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.02,1.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,6400000,0,0,0,0,0,0,0,0,6400000,0,0,0,6400000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.02,1.02.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,37730000,0,0,0,0,0,0,0,0,1230000,36500000,0,0,37730000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.03,1.02.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4858400,0,0,0,0,0,4858400,0,0,0,0,0,0,4858400,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.03,1.02.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,63680000,0,0,0,0,0,0,63680000,0,0,0,0,0,63680000,0,
1.02 URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02,01.0001 Sekretariat DINKES,1.02.0.00.0.00.01.0001,Sekretariat DINKES,1.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.02.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.02.01.2.01.03,1.02.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1845000,0,0,0,0,0,0,1845000,0,0,0,0,0,1845000,0,
