nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5324800,5324800,0,0,0,0,0,0,0,0,0,0,0,5324800,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,11828000,512500,2240500,507500,1557500,1445000,490000,1690000,245000,245000,2495000,400000,0,11828000,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,30200000,0,11600000,2000000,9600000,0,1200000,0,3000000,1400000,1400000,0,0,30200000,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,45600000,0,3600000,0,0,42000000,0,0,0,0,0,0,0,45600000,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663345,31960162,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0030 Belanja Sewa Bangunan Gedung Tempat Kerja Lainnya,5.1.02.02.05.0030,8220000,0,0,1644000,0,1644000,0,2466000,0,0,2466000,0,0,8220000,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,18396000,0,5240000,0,10436000,0,0,2720000,0,0,0,0,0,18396000,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.01,2.09.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2845000,0,0,760000,0,760000,0,1325000,0,0,0,0,0,2845000,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.02,2.09.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3304800,0,0,0,3304800,0,0,0,0,0,0,0,0,3304800,0,
2.09 URUSAN PEMERINTAHAN BIDANG PANGAN,2.09,01.0001 Sekretariat DKP,2.09.0.00.0.00.01.0001,Sekretariat DKP,2.09.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.09.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.09.01.2.01.02,2.09.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5061000,250000,0,0,0,0,525000,525000,787500,787500,1497500,262500,426000,5061000,0,
