nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.01,2.16.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6658400,0,6658400,0,0,0,0,0,0,0,0,0,0,6658400,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.01,2.16.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5487600,0,3100000,0,0,0,2387600,0,0,0,0,0,0,5487600,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.01,2.16.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0027 Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,5.1.02.01.01.0027,900000,0,450000,0,0,0,450000,0,0,0,0,0,0,900000,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.01,2.16.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,6000000,0,4800000,0,0,0,1200000,0,0,0,0,0,0,6000000,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.01,2.16.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,7900000,0,7900000,0,0,0,0,0,0,0,0,0,0,7900000,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.02,2.16.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,8831700,0,0,0,0,0,8831700,0,0,0,0,0,0,8831700,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.02,2.16.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5507800,0,0,0,0,0,0,5507800,0,0,0,0,0,5507800,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.02,2.16.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1200000,0,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.02,2.16.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663345,31960162,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.03,2.16.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9847950,0,0,0,0,0,0,0,5847950,0,4000000,0,0,9847950,0,
2.16 URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16,01.0001 Sekretariat Diskominfo,2.16.2.20.2.21.01.0001,Sekretariat Diskominfo,2.16.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.16.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.16.01.2.01.03,2.16.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,7552050,0,0,0,0,0,0,0,3000000,0,4552050,0,0,7552050,0,
