nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.01,2.11.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,2850000,2850000,0,0,0,0,0,0,0,0,0,0,0,2850000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.01,2.11.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9175200,9175200,0,0,0,0,0,0,0,0,0,0,0,9175200,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.01,2.11.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,19245900,19245900,0,0,0,0,0,0,0,0,0,0,0,19245900,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.01,2.11.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0035 Belanja Alat/Bahan untuk Kegiatan Kantor- Suvenir/Cendera Mata,5.1.02.01.01.0035,52500000,52500000,0,0,0,0,0,0,0,0,0,0,0,52500000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.01,2.11.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,10800000,10800000,0,0,0,0,0,0,0,0,0,0,0,10800000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.01,2.11.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,119400000,119400000,0,0,0,0,0,0,0,0,0,0,0,119400000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.02,2.11.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6443100,6443100,0,0,0,0,0,0,0,0,0,0,0,6443100,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.02,2.11.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,6751150,6751150,0,0,0,0,0,0,0,0,0,0,0,6751150,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.02,2.11.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0027 Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,5.1.02.01.01.0027,300000,300000,0,0,0,0,0,0,0,0,0,0,0,300000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.02,2.11.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12000000,12000000,0,0,0,0,0,0,0,0,0,0,0,12000000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.03,2.11.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6680900,6680900,0,0,0,0,0,0,0,0,0,0,0,6680900,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.03,2.11.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,6750100,6750100,0,0,0,0,0,0,0,0,0,0,0,6750100,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.03,2.11.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0027 Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,5.1.02.01.01.0027,300000,300000,0,0,0,0,0,0,0,0,0,0,0,300000,0,
2.11 URUSAN PEMERINTAHAN BIDANG LINGKUNGAN HIDUP,2.11,01.0001 Sekretariat DLH,2.11.0.00.0.00.01.0001,Sekretariat DLH,2.11.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.11.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.11.01.2.01.03,2.11.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12000000,12000000,0,0,0,0,0,0,0,0,0,0,0,12000000,0,
