nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,5550000,0,0,5550000,0,0,0,0,0,0,0,0,0,5550000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,202125750,202125750,0,0,0,0,0,0,0,0,0,0,0,202125750,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,200190500,20190500,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,0,0,200190500,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,60000000,30000000,30000000,0,0,0,0,0,0,0,0,0,0,60000000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0016 Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum,5.1.02.02.01.0016,252521131,21521131,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,252521131,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,147920000,0,147920000,0,0,0,0,0,0,0,0,0,0,147920000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.01,1.03.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,298200000,0,298200000,0,0,0,0,0,0,0,0,0,0,298200000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.02,1.03.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,875000,875000,0,0,0,0,0,0,0,0,0,0,0,875000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.02,1.03.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,26212600,26212600,0,0,0,0,0,0,0,0,0,0,0,26212600,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPUPR,1.03.0.00.0.00.01.0001,Sekretariat DPUPR,1.03.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.03.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.03.01.2.01.02,1.03.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,6812400,6812400,0,0,0,0,0,0,0,0,0,0,0,6812400,0,
