nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,4650000,0,4650000,0,0,0,0,0,0,0,0,0,0,4650000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0012 Belanja Bahan-Bahan Lainnya,5.1.02.01.01.0012,24000000,0,12000000,12000000,0,0,0,0,0,0,0,0,0,24000000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,13669000,6562000,3553500,3553500,0,0,0,0,0,0,0,0,0,13669000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,8371000,0,5121000,3250000,0,0,0,0,0,0,0,0,0,8371000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,22400000,3200000,3200000,3200000,3200000,1600000,1600000,1600000,1600000,1600000,1600000,0,0,22400000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,7600000,0,0,7600000,0,0,0,0,0,0,0,0,0,7600000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,83000000,0,0,83000000,0,0,0,0,0,0,0,0,0,83000000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,13720000,0,13720000,0,0,0,0,0,0,0,0,0,0,13720000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.01,2.19.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,22062000,0,22062000,0,0,0,0,0,0,0,0,0,0,22062000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,3100000,0,0,0,3100000,0,0,0,0,0,0,0,0,3100000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9490000,0,0,0,9490000,0,0,0,0,0,0,0,0,9490000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12750000,0,0,0,8250000,0,0,4500000,0,0,0,0,0,12750000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,11200000,0,0,8000000,1600000,0,0,1600000,0,0,0,0,0,11200000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0070 Belanja Pakaian Pelatihan Kerja,5.1.02.01.01.0070,2500000,0,0,0,2500000,0,0,0,0,0,0,0,0,2500000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,45000000,0,0,0,45000000,0,0,0,0,0,0,0,0,45000000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,7840000,0,0,0,7840000,0,0,0,0,0,0,0,0,7840000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.02,2.19.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,81675000,0,0,0,81675000,0,0,0,0,0,0,0,0,81675000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,3100000,0,0,0,0,0,0,0,3100000,0,0,0,0,3100000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9490000,0,0,0,0,0,0,9490000,0,0,0,0,0,9490000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12750000,0,0,0,0,0,0,3750000,4500000,4500000,0,0,0,12750000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,11200000,0,0,0,0,0,0,8000000,1600000,1600000,0,0,0,11200000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0070 Belanja Pakaian Pelatihan Kerja,5.1.02.01.01.0070,2500000,0,0,0,0,0,0,0,2500000,0,0,0,0,2500000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,45000000,0,0,0,0,0,0,0,45000000,0,0,0,0,45000000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,7840000,0,0,0,0,0,0,0,7840000,0,0,0,0,7840000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.03,2.19.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,81675000,0,0,0,0,0,0,0,81675000,0,0,0,0,81675000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.04,2.19.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1550000,0,1550000,0,0,0,0,0,0,0,0,0,0,1550000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.04,2.19.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9490000,9490000,0,0,0,0,0,0,0,0,0,0,0,9490000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.04,2.19.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,9750000,9750000,0,0,0,0,0,0,0,0,0,0,0,9750000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.04,2.19.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4000000,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.04,2.19.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,7840000,7840000,0,0,0,0,0,0,0,0,0,0,0,7840000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.05,2.19.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,3100000,0,3100000,0,0,0,0,0,0,0,0,0,0,3100000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.05,2.19.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9490000,0,9490000,0,0,0,0,0,0,0,0,0,0,9490000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.05,2.19.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,17250000,0,5250000,0,1500000,0,0,3000000,0,0,7500000,0,0,17250000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.05,2.19.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,27200000,8000000,3200000,0,3200000,0,0,6400000,0,0,6400000,0,0,27200000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.05,2.19.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,7840000,0,7840000,0,0,0,0,0,0,0,0,0,0,7840000,0,
2.19 URUSAN PEMERINTAHAN BIDANG KEPEMUDAAN DAN OLAHRAGA,2.19,01.0001 Sekretariat Dispora,2.19.0.00.0.00.01.0001,Sekretariat Dispora,2.19.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.19.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.19.01.2.01.06,2.19.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,3100000,0,0,3100000,0,0,0,0,0,0,0,0,0,3100000,0,
