nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.01,2.18.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,23905550,4000000,7755000,4000000,4000000,4150550,0,0,0,0,0,0,0,23905550,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.01,2.18.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,11704400,2500000,2500000,2500000,3154400,1050000,0,0,0,0,0,0,0,11704400,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.01,2.18.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,10000000,2500000,2500000,2500000,2500000,0,0,0,0,0,0,0,0,10000000,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.01,2.18.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,33100000,0,33100000,0,0,0,0,0,0,0,0,0,0,33100000,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.01,2.18.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1290000,1290000,0,0,0,0,0,0,0,0,0,0,0,1290000,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.02,2.18.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2621000,0,2621000,0,0,0,0,0,0,0,0,0,0,2621000,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.02,2.18.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,7218800,0,0,7218800,0,0,0,0,0,0,0,0,0,7218800,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.02,2.18.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2000000,0,2000000,0,0,0,0,0,0,0,0,0,0,2000000,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.02,2.18.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,4530000,4530000,0,0,0,0,0,0,0,0,0,0,0,4530000,0,
2.18 URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18,01.0001 Sekretariat DPMPTSP,2.18.0.00.0.00.01.0001,Sekretariat DPMPTSP,2.18.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.18.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.18.01.2.01.02,2.18.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,3630000,3630000,0,0,0,0,0,0,0,0,0,0,0,3630000,0,
