nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.01,1.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,3050000,0,0,0,0,3050000,0,0,0,0,0,0,0,3050000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.01,1.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,42757250,0,29645150,8374800,0,0,0,4737300,0,0,0,0,0,42757250,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.01,1.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,14324600,0,2833450,2562800,2501250,3118550,0,2558550,750000,0,0,0,0,14324600,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.01,1.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663345,31960162,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.01,1.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,354000000,0,45000000,0,0,132000000,45000000,132000000,0,0,0,0,0,354000000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.01,1.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,99960000,0,5100000,0,0,44880000,5100000,44880000,0,0,0,0,0,99960000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.02,1.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,700000,0,0,0,0,0,700000,0,0,0,0,0,0,700000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.02,1.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,13602250,0,0,0,0,0,13602250,0,0,0,0,0,0,13602250,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.02,1.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5483000,0,0,0,0,0,5483000,0,0,0,0,0,0,5483000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.02,1.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663345,31960162,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.02,1.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,313500000,0,0,0,0,0,153000000,160500000,0,0,0,0,0,313500000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.02,1.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,131920000,0,0,0,0,0,108970000,22950000,0,0,0,0,0,131920000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.03,1.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,700000,0,0,0,0,0,0,0,0,700000,0,0,0,700000,0,
1.01 URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,1.01,01.0001 Sekretariat Disdik,1.01.0.00.0.00.01.0001,Sekretariat Disdik,1.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.01.01.2.01.03,1.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,14623450,0,0,0,0,0,0,0,0,14623450,0,0,0,14623450,0,
