nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4932100,4932100,0,0,0,0,0,0,0,0,0,0,0,4932100,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,9592500,2342500,0,2650000,0,0,0,2300000,0,0,2300000,0,0,9592500,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3200000,800000,0,0,0,0,0,800000,0,800000,800000,0,0,3200000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,3400000,0,3400000,0,0,0,0,0,0,0,0,0,0,3400000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,63920323,5326693,5326695,5326693,5326693,5326695,5326693,5326693,5326693,5326693,5326696,5326693,5326693,63920323,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,18000000,0,18000000,0,0,0,0,0,0,0,0,0,0,18000000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.01,3.30.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,6800000,0,6800000,0,0,0,0,0,0,0,0,0,0,6800000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.02,3.30.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5340300,0,5340300,0,0,0,0,0,0,0,0,0,0,5340300,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.02,3.30.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,10200000,2550000,0,0,2550000,0,0,2550000,0,0,2550000,0,0,10200000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.02,3.30.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1200000,1200000,0,0,0,0,0,0,0,0,0,0,0,1200000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.03,3.30.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5050600,0,0,0,0,0,0,5050600,0,0,0,0,0,5050600,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.03,3.30.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12650000,0,0,2530000,0,2530000,0,2530000,0,2530000,0,2530000,0,12650000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.03,3.30.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,0,0,0,0,800000,0,0,800000,0,0,0,0,1600000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.04,3.30.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4272400,2136200,0,0,0,0,0,0,0,2136200,0,0,0,4272400,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.04,3.30.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,10600000,2200000,0,0,2800000,0,0,0,2800000,0,0,2800000,0,10600000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.04,3.30.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1200000,0,0,0,0,0,0,0,0,1200000,0,0,0,1200000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.05,3.30.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3880200,0,0,0,3880200,0,0,0,0,0,0,0,0,3880200,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.05,3.30.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12825000,0,0,0,4275000,0,0,0,4275000,0,0,4275000,0,12825000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.05,3.30.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1200000,0,0,0,0,0,0,0,1200000,0,0,0,0,1200000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.06,3.30.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2200300,0,0,0,2200300,0,0,0,0,0,0,0,0,2200300,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.06,3.30.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,9650000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,650000,0,9650000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.06,3.30.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,8600000,800000,800000,800000,0,800000,800000,800000,800000,800000,800000,800000,600000,8600000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.06,3.30.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0053 Belanja Makanan dan Minuman Jamuan Tamu,5.1.02.01.01.0053,1000000,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2319700,0,0,0,2319700,0,0,0,0,0,0,0,0,2319700,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,14500000,2000000,1000000,1000000,3500000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,14500000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,0,0,0,0,0,1200000,0,0,0,0,0,1200000,2400000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,95880485,7990045,7990040,7990040,7990040,7990040,7990040,7990040,7990040,7990040,7990040,7990040,7990040,95880485,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,"5.1.02.02.01.0055 Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",5.1.02.02.01.0055,20000000,10000000,10000000,0,0,0,0,0,0,0,0,0,0,20000000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,6800000,2000000,2000000,2800000,0,0,0,0,0,0,0,0,0,6800000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.30.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.30.01.2.01.07,3.30.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,15124000,0,0,7562000,0,0,7562000,0,0,0,0,0,0,15124000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.01.0001 Belanja Gaji Pokok PNS,5.1.01.01.01.0001,3360510000,3360510000,0,0,0,0,0,0,0,0,0,0,0,3360510000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.02.0001 Belanja Tunjangan Keluarga PNS,5.1.01.01.02.0001,475728000,475728000,0,0,0,0,0,0,0,0,0,0,0,475728000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.03.0001 Belanja Tunjangan Jabatan PNS,5.1.01.01.03.0001,164220000,164220000,0,0,0,0,0,0,0,0,0,0,0,164220000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.04.0001 Belanja Tunjangan Fungsional PNS,5.1.01.01.04.0001,104160000,104160000,0,0,0,0,0,0,0,0,0,0,0,104160000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.05.0001 Belanja Tunjangan Fungsional Umum PNS,5.1.01.01.05.0001,84360000,84360000,0,0,0,0,0,0,0,0,0,0,0,84360000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.06.0001 Belanja Tunjangan Beras PNS,5.1.01.01.06.0001,299280000,299280000,0,0,0,0,0,0,0,0,0,0,0,299280000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.07.0001 Belanja Tunjangan PPh/Tunjangan Khusus PNS,5.1.01.01.07.0001,13464000,13464000,0,0,0,0,0,0,0,0,0,0,0,13464000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.08.0001 Belanja Pembulatan Gaji PNS,5.1.01.01.08.0001,3100118,3100118,0,0,0,0,0,0,0,0,0,0,0,3100118,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.10.0001 Belanja Iuran Jaminan Kecelakaan Kerja PNS,5.1.01.01.10.0001,7236000,7236000,0,0,0,0,0,0,0,0,0,0,0,7236000,0,
3.30 URUSAN PEMERINTAHAN BIDANG PERDAGANGAN,3.30,01.0001 Sekretariat Disdagin,3.30.3.31.0.00.01.0001,Sekretariat Disdagin,3.30.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3.30.01.2.02 Administrasi Keuangan Perangkat Daerah,3.30.01.2.02.01,3.30.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.11.0001 Belanja Iuran Jaminan Kematian PNS,5.1.01.01.11.0001,109200000,109200000,0,0,0,0,0,0,0,0,0,0,0,109200000,0,
