nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,697200,0,697200,0,0,0,0,0,0,0,0,0,0,697200,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,10342400,1000000,1000000,1000000,1000000,1000000,1000000,4342400,0,0,0,0,0,10342400,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0016 Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum,5.1.02.02.01.0016,54912000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,54912000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,63920323,5326694,5326694,5326694,5326694,5326694,5326694,5326694,5326694,5326694,5326694,5326694,5326689,63920323,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,21225000,3170000,3170000,3170000,3565000,3070000,3170000,1910000,0,0,0,0,0,21225000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,31960000,4840000,4840000,7760000,4840000,4840000,4840000,0,0,0,0,0,0,31960000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.01,2.15.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.2.02.06.01.0004 Belanja Modal Peralatan Cetak,5.2.02.06.01.0004,6148800,0,6148800,0,0,0,0,0,0,0,0,0,0,6148800,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.02,2.15.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,17640000,1500000,2500000,2500000,2470000,1500000,6670000,500000,0,0,0,0,0,17640000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.02,2.15.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,0,800000,800000,0,0,0,0,0,0,0,0,0,1600000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.02,2.15.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,62760000,5710000,11420000,11370000,11420000,11420000,5710000,5710000,0,0,0,0,0,62760000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.03,2.15.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,17354800,0,0,0,0,0,5200000,1500000,1500000,1500000,3000000,4654800,0,17354800,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.03,2.15.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,0,0,0,0,0,400000,400000,400000,400000,0,0,0,1600000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.03,2.15.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,33045000,0,0,0,0,0,4400000,4015000,4020000,4550000,8030000,8030000,0,33045000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.04,2.15.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3507600,0,3507600,0,0,0,0,0,0,0,0,0,0,3507600,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.04,2.15.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,20767200,1700200,1700000,1700000,1700000,1700000,4167000,1700000,3200000,3200000,0,0,0,20767200,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.04,2.15.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,0,0,400000,0,400000,400000,400000,0,0,0,0,0,1600000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.04,2.15.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,36125000,0,0,5760000,6565000,5760000,5760000,5020000,4760000,2500000,0,0,0,36125000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.06,2.15.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1502600,160000,160000,160000,160000,160000,197600,160000,160000,185000,0,0,0,1502600,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.06,2.15.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,18545000,2000000,2000000,2490000,2490000,2490000,1580000,2490000,1425000,1580000,0,0,0,18545000,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.07,2.15.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5346050,0,0,5346050,0,0,0,0,0,0,0,0,0,5346050,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.07,2.15.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,6328400,0,0,2328400,0,0,2000000,0,0,2000000,0,0,0,6328400,0,
2.15 URUSAN PEMERINTAHAN BIDANG PERHUBUNGAN,2.15,01.0001 Sekretariat Dishub,2.15.0.00.0.00.01.0001,Sekretariat Dishub,2.15.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.15.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.15.01.2.01.07,2.15.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,9600000,0,0,3200000,0,0,3200000,0,0,3200000,0,0,0,9600000,0,
