nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1750000,0,0,1750000,0,0,0,0,0,0,0,0,0,1750000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,37675000,0,37675000,0,0,0,0,0,0,0,0,0,0,37675000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2300000,0,0,1800000,0,250000,250000,0,0,0,0,0,0,2300000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12400000,0,1600000,6000000,2400000,0,2400000,0,0,0,0,0,0,12400000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,12395000,0,12395000,0,0,0,0,0,0,0,0,0,0,12395000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0004 Belanja Perjalanan Dinas Paket Meeting Dalam Kota,5.1.02.04.01.0004,3000000,0,0,3000000,0,0,0,0,0,0,0,0,0,3000000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.01,3.25.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0005 Belanja Perjalanan Dinas Paket Meeting Luar Kota,5.1.02.04.01.0005,8480000,0,0,8480000,0,0,0,0,0,0,0,0,0,8480000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.02,3.25.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3250000,0,0,0,0,0,3250000,0,0,0,0,0,0,3250000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.02,3.25.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2200000,0,0,0,0,0,0,0,2200000,0,0,0,0,2200000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.02,3.25.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,6550000,0,0,0,0,0,0,6550000,0,0,0,0,0,6550000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.03,3.25.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7350000,0,0,0,0,0,0,7350000,0,0,0,0,0,7350000,0,
3.25 URUSAN PEMERINTAHAN BIDANG KELAUTAN DAN PERIKANAN,3.25,01.0001 Sekretariat Diskanak,3.25.3.27.0.00.01.0001,Sekretariat Diskanak,3.25.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.25.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.25.01.2.01.03,3.25.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1250000,0,0,0,0,0,0,0,0,1250000,0,0,0,1250000,0,
