nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPKPP,1.03.1.04.2.10.01.0001,Sekretariat DPKPP,1.03.08 PROGRAM PENATAAN BANGUNAN GEDUNG,"1.03.08.2.01 Penyelenggaraan Bangunan Gedung di Wilayah Daerah Kabupaten/Kota, Pemberian Izin Mendirikan Bangunan (IMB) dan Sertifikat Laik Fungsi Bangunan Gedung",1.03.08.2.01.02,"1.03.08.2.01.02 Perencanaan, Pembangunan, Pengawasan, dan Pemanfaatan Bangunan Gedung Daerah Kabupaten/Kota",5.2.03.01.01.0001 Belanja Modal Bangunan Gedung Kantor,5.2.03.01.01.0001,66163604195,29956770,19696770,31956770,915769770,3795962207,6623958546,13263341178,10922227790,13900528118,4736558328,6735724974,5187922974,66163604195,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,01.0001 Sekretariat DPKPP,1.03.1.04.2.10.01.0001,Sekretariat DPKPP,1.03.08 PROGRAM PENATAAN BANGUNAN GEDUNG,"1.03.08.2.01 Penyelenggaraan Bangunan Gedung di Wilayah Daerah Kabupaten/Kota, Pemberian Izin Mendirikan Bangunan (IMB) dan Sertifikat Laik Fungsi Bangunan Gedung",1.03.08.2.01.02,"1.03.08.2.01.02 Perencanaan, Pembangunan, Pengawasan, dan Pemanfaatan Bangunan Gedung Daerah Kabupaten/Kota",5.2.03.04.01.0004 Belanja Modal Pagar,5.2.03.04.01.0004,1945434000,0,0,0,652042350,363132900,714421500,215837250,0,0,0,0,0,1945434000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,84733300,0,0,0,24733300,0,0,60000000,0,0,0,0,0,84733300,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,12004000,0,0,0,0,0,0,0,0,0,12004000,0,0,12004000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.1.02.01.01.0039 Belanja Persediaan untuk Dijual/Diserahkan-Persediaan untuk Dijual/Diserahkan kepada Masyarakat,5.1.02.01.01.0039,37327500000,0,0,0,7327500000,0,0,15000000000,0,0,15000000000,0,0,37327500000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.1.02.02.01.0004 Honorarium Tim Pelaksana Kegiatan dan Sekretariat Tim Pelaksana Kegiatan,5.1.02.02.01.0004,321750000,0,0,0,321750000,0,0,0,0,0,0,0,0,321750000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.1.02.02.08.0005 Belanja Jasa Konsultansi Perencanaan Arsitektur-Jasa Arsitektur Lainnya,5.1.02.02.08.0005,102820000,0,0,0,102820000,0,0,0,0,0,0,0,0,102820000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,135500000,0,0,0,33875000,0,0,0,0,0,101625000,0,0,135500000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.2.01.01.03.0013 Belanja Modal Tanah untuk Taman,5.2.01.01.03.0013,8250000000,0,0,0,0,0,0,0,0,0,8250000000,0,0,8250000000,0,
1.03 URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG,1.03,"01.0004 Bidang Prasarana, Sarana dan Utilitas Umum",1.03.1.04.2.10.01.0004,"Bidang Prasarana, Sarana dan Utilitas Umum",1.03.07 PROGRAM PENGEMBANGAN PERMUKIMAN,1.03.07.2.01 Penyelenggaraan Infrastruktur pada Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,1.03.07.2.01.01,1.03.07.2.01.01 Pembangunan dan Pengembangan Infrastruktur Kawasan Permukiman di Kawasan Strategis Daerah Kabupaten/Kota,5.2.02.10.01.0003 Belanja Modal Komputer Unit Lainnya,5.2.02.10.01.0003,133972300,0,0,0,133972300,0,0,0,0,0,0,0,0,133972300,0,
