nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,2700000,0,0,2700000,0,0,0,0,0,0,0,0,0,2700000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,23217200,0,8750000,3798100,10669100,0,0,0,0,0,0,0,0,23217200,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,9227600,600000,1400000,1300000,1437600,3840000,650000,0,0,0,0,0,0,9227600,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,5600000,1200000,1200000,2000000,0,0,0,0,0,0,1200000,0,0,5600000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,3600000,0,1800000,1800000,0,0,0,0,0,0,0,0,0,3600000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,65110000,0,46000000,4110000,0,15000000,0,0,0,0,0,0,0,65110000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,30950000,0,15100000,3170000,3170000,3170000,0,0,3170000,3170000,0,0,0,30950000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.01,1.06.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0004 Belanja Perjalanan Dinas Paket Meeting Dalam Kota,5.1.02.04.01.0004,4000000,0,4000000,0,0,0,0,0,0,0,0,0,0,4000000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.02,1.06.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,9813000,0,0,0,0,0,0,1370500,8442500,0,0,0,0,9813000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.02,1.06.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1125000,0,0,0,0,0,0,0,1125000,0,0,0,0,1125000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.02,1.06.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,0,0,0,0,0,0,0,2400000,0,0,0,0,2400000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.03,1.06.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4146000,0,4146000,0,0,0,0,0,0,0,0,0,0,4146000,0,
1.06 URUSAN PEMERINTAHAN BIDANG SOSIAL,1.06,01.0001 Sekretariat Dinsos,1.06.0.00.0.00.01.0001,Sekretariat Dinsos,1.06.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"1.06.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",1.06.01.2.01.03,1.06.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1125000,0,0,0,0,0,0,1125000,0,0,0,0,0,1125000,0,
