nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1850000,0,1850000,0,0,0,0,0,0,0,0,0,0,1850000,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7674500,0,7674500,0,0,0,0,0,0,0,0,0,0,7674500,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,11598000,0,11598000,0,0,0,0,0,0,0,0,0,0,11598000,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,5200000,0,5200000,0,0,0,0,0,0,0,0,0,0,5200000,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,5100000,0,5100000,0,0,0,0,0,0,0,0,0,0,5100000,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,25440000,0,25440000,0,0,0,0,0,0,0,0,0,0,25440000,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.01,3.27.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,26870000,0,6717500,0,0,6717500,0,0,6717500,0,6717500,0,0,26870000,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.02,3.27.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1568950,0,1568950,0,0,0,0,0,0,0,0,0,0,1568950,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.02,3.27.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,895200,0,895200,0,0,0,0,0,0,0,0,0,0,895200,0,
3.27 URUSAN PEMERINTAHAN BIDANG PERTANIAN,3.27,01.0001 Sekretariat DTPHP,3.27.0.00.0.00.01.0001,Sekretariat DTPHP,3.27.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"3.27.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.27.01.2.01.02,3.27.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,0,2400000,0,0,0,0,0,0,0,0,0,0,2400000,0,
