nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1150000,0,0,1150000,0,0,0,0,0,0,0,0,0,1150000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4290950,0,4290950,0,0,0,0,0,0,0,0,0,0,4290950,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,14350000,0,4750000,4500000,2100000,0,0,0,700000,875000,1425000,0,0,14350000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,10800000,300000,4800000,2400000,0,0,600000,750000,0,600000,600000,750000,0,10800000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,14100000,0,5700000,8400000,0,0,0,0,0,0,0,0,0,14100000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.05.0009 Belanja Sewa Bangunan Gedung Tempat Pertemuan,5.1.02.02.05.0009,66000000,0,0,66000000,0,0,0,0,0,0,0,0,0,66000000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.01,2.07.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,26900000,4150000,22750000,0,0,0,0,0,0,0,0,0,0,26900000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.02,2.07.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1672100,0,0,1672100,0,0,0,0,0,0,0,0,0,1672100,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.02,2.07.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,8750000,0,0,0,0,4375000,0,0,0,0,4375000,0,0,8750000,0,
2.07 URUSAN PEMERINTAHAN BIDANG TENAGA KERJA,2.07,01.0001 Sekretariat Disnaker,2.07.3.32.0.00.01.0001,Sekretariat Disnaker,2.07.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"2.07.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01.2.01.02,2.07.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3200000,0,0,0,1200000,0,0,0,0,2000000,0,0,0,3200000,0,
