nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.01,6.01.02.2.01.01 Pengawasan Kinerja Pemerintah Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1950000,0,0,0,875000,875000,0,0,0,0,200000,0,0,1950000,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.01,6.01.02.2.01.01 Pengawasan Kinerja Pemerintah Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,13000700,0,0,0,13000700,0,0,0,0,0,0,0,0,13000700,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.01,6.01.02.2.01.01 Pengawasan Kinerja Pemerintah Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,10649300,0,0,0,0,10649300,0,0,0,0,0,0,0,10649300,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.01,6.01.02.2.01.01 Pengawasan Kinerja Pemerintah Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,8400000,0,0,0,0,0,3400000,3000000,2000000,0,0,0,0,8400000,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.01,6.01.02.2.01.01 Pengawasan Kinerja Pemerintah Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,161000000,0,0,0,90000000,50000000,21000000,0,0,0,0,0,0,161000000,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.02,6.01.02.2.01.02 Pengawasan Keuangan Pemerintah Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,103897100,0,45000000,0,45000000,0,0,0,13897100,0,0,0,0,103897100,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.02,6.01.02.2.01.02 Pengawasan Keuangan Pemerintah Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,50412200,0,0,25000000,0,0,0,0,25412200,0,0,0,0,50412200,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.02,6.01.02.2.01.02 Pengawasan Keuangan Pemerintah Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,20850000,0,0,0,0,10400000,0,10450000,0,0,0,0,0,20850000,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.02,6.01.02.2.01.02 Pengawasan Keuangan Pemerintah Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1035265000,0,350000000,0,240000000,250000000,195265000,0,0,0,0,0,0,1035265000,0,
6.01 INSPEKTORAT DAERAH,6.01,01.0000 INSPEKTORAT,6.01.0.00.0.00.01.0000,INSPEKTORAT,6.01.02 PROGRAM PENYELENGGARAAN PENGAWASAN,6.01.02.2.01 Penyelenggaraan Pengawasan Internal,6.01.02.2.01.03,6.01.02.2.01.03 Reviu Laporan Kinerja,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,875000,0,0,875000,0,0,0,0,0,0,0,0,0,875000,0,
