nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1385750,695000,0,0,0,0,0,690750,0,0,0,0,0,1385750,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,581100,300000,0,0,0,0,0,281100,0,0,0,0,0,581100,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0027 Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,5.1.02.01.01.0027,81000,41000,0,0,0,0,0,40000,0,0,0,0,0,81000,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0053 Belanja Makanan dan Minuman Jamuan Tamu,5.1.02.01.01.0053,2400000,1200000,0,0,0,0,0,1200000,0,0,0,0,0,2400000,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,10200000,5100000,0,0,0,0,0,5100000,0,0,0,0,0,10200000,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1030500,1030500,0,0,0,0,0,0,0,0,0,0,0,1030500,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,380500,380500,0,0,0,0,0,0,0,0,0,0,0,380500,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0027 Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,5.1.02.01.01.0027,48000,48000,0,0,0,0,0,0,0,0,0,0,0,48000,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0053 Belanja Makanan dan Minuman Jamuan Tamu,5.1.02.01.01.0053,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,
7.01 KECAMATAN,7.01,05.0001 Sekretariat Kecamatan Babakan Madang,7.01.0.00.0.00.05.0001,Sekretariat Kecamatan Babakan Madang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,1700000,1700000,0,0,0,0,0,0,0,0,0,0,0,1700000,0,
