nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,13.0000 KECAMATAN BOJONGGEDE,7.01.0.00.0.00.13.0000,KECAMATAN BOJONGGEDE,7.01.06 PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,"7.01.06.2.01 Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",7.01.06.2.01.17,7.01.06.2.01.17 Koordinasi Pendampingan Desa di Wilayahnya,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4268000,0,0,2000000,0,0,0,0,2268000,0,0,0,0,4268000,0,
7.01 KECAMATAN,7.01,13.0000 KECAMATAN BOJONGGEDE,7.01.0.00.0.00.13.0000,KECAMATAN BOJONGGEDE,7.01.06 PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,"7.01.06.2.01 Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",7.01.06.2.01.17,7.01.06.2.01.17 Koordinasi Pendampingan Desa di Wilayahnya,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2162000,0,0,1162000,0,0,0,0,1000000,0,0,0,0,2162000,0,
7.01 KECAMATAN,7.01,13.0000 KECAMATAN BOJONGGEDE,7.01.0.00.0.00.13.0000,KECAMATAN BOJONGGEDE,7.01.06 PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,"7.01.06.2.01 Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",7.01.06.2.01.17,7.01.06.2.01.17 Koordinasi Pendampingan Desa di Wilayahnya,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12750000,0,0,6750000,0,0,0,0,6000000,0,0,0,0,12750000,0,
7.01 KECAMATAN,7.01,13.0000 KECAMATAN BOJONGGEDE,7.01.0.00.0.00.13.0000,KECAMATAN BOJONGGEDE,7.01.06 PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,"7.01.06.2.01 Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",7.01.06.2.01.17,7.01.06.2.01.17 Koordinasi Pendampingan Desa di Wilayahnya,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5950000,0,0,3000000,0,0,0,0,2950000,0,0,0,0,5950000,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2296300,0,1148150,0,0,0,0,1148150,0,0,0,0,0,2296300,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2842400,0,1400000,0,0,0,0,1442400,0,0,0,0,0,2842400,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4000000,0,2000000,0,0,0,0,2000000,0,0,0,0,0,4000000,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,6960000,0,3500000,0,0,0,0,3460000,0,0,0,0,0,6960000,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3092550,3092550,0,0,0,0,0,0,0,0,0,0,0,3092550,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5061200,5061200,0,0,0,0,0,0,0,0,0,0,0,5061200,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,6750000,6750000,0,0,0,0,0,0,0,0,0,0,0,6750000,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2040000,2040000,0,0,0,0,0,0,0,0,0,0,0,2040000,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,914500,0,0,0,0,0,0,0,0,0,914500,0,0,914500,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1834500,0,0,0,0,0,0,0,0,0,1834500,0,0,1834500,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,6375000,0,0,0,0,0,0,0,0,0,6375000,0,0,6375000,0,
7.01 KECAMATAN,7.01,13.0001 Sekretariat Kec.amatan Bojonggede,7.01.0.00.0.00.13.0001,Sekretariat Kec.amatan Bojonggede,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2500000,0,0,0,0,0,0,0,0,0,2500000,0,0,2500000,0,
