nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3454350,1454350,0,0,0,1000000,0,0,0,1000000,0,0,0,3454350,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2140000,1140000,0,0,0,0,0,1000000,0,0,0,0,0,2140000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,11900000,3400000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,0,11900000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2782750,1782750,0,0,0,0,0,1000000,0,0,0,0,0,2782750,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2300000,1300000,0,0,0,0,0,1000000,0,0,0,0,0,2300000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,8500000,3060000,0,1360000,0,1360000,0,1360000,0,0,1360000,0,0,8500000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4377950,1000000,0,0,2000000,0,0,1377950,0,0,0,0,0,4377950,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1999650,1000000,0,0,0,0,999650,0,0,0,0,0,0,1999650,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,800000,0,0,0,0,1600000,0,0,0,0,0,0,2400000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.02.01.0028 Belanja Jasa Tenaga Pelayanan Umum,5.1.02.02.01.0028,31960162,2665000,2665000,2665000,2665000,2665000,2665000,2665000,2665000,2665000,2665000,2665000,2645162,31960162,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,13600000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1700000,0,13600000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3540500,0,0,0,2000000,0,0,1540500,0,0,0,0,0,3540500,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2300000,0,0,0,1000000,0,0,1300000,0,0,0,0,0,2300000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2000000,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,8500000,0,0,0,2900000,0,0,5600000,0,0,0,0,0,8500000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2277200,0,0,0,0,0,2277200,0,0,0,0,0,0,2277200,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5100000,0,0,0,0,0,5100000,0,0,0,0,0,0,5100000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,"5.1.02.02.01.0055 Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",5.1.02.02.01.0055,42000000,0,42000000,0,0,0,0,0,0,0,0,0,0,42000000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,10200000,2000000,0,0,5000000,0,0,3200000,0,0,0,0,0,10200000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1510750,0,0,0,1510750,0,0,0,0,0,0,0,0,1510750,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,1000000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5100000,0,0,0,5100000,0,0,0,0,0,0,0,0,5100000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.01.0001 Belanja Gaji Pokok PNS,5.1.01.01.01.0001,1158001768,110000000,110000000,110000000,110000000,278001768,140000000,100000000,100000000,100000000,0,0,0,1158001768,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.02.0001 Belanja Tunjangan Keluarga PNS,5.1.01.01.02.0001,137704510,14000000,14000000,14000000,14000000,25704510,14000000,14000000,14000000,14000000,0,0,0,137704510,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.03.0001 Belanja Tunjangan Jabatan PNS,5.1.01.01.03.0001,82880000,7500000,7500000,7500000,7500000,15880000,14500000,7500000,7500000,7500000,0,0,0,82880000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.04.0001 Belanja Tunjangan Fungsional PNS,5.1.01.01.04.0001,10080000,900000,900000,900000,900000,2000000,1780000,900000,900000,900000,0,0,0,10080000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.05.0001 Belanja Tunjangan Fungsional Umum PNS,5.1.01.01.05.0001,34495000,3500000,3500000,3500000,3500000,6000000,5495000,3000000,3000000,3000000,0,0,0,34495000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.06.0001 Belanja Tunjangan Beras PNS,5.1.01.01.06.0001,67929000,11929000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,0,0,0,67929000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.07.0001 Belanja Tunjangan PPh/Tunjangan Khusus PNS,5.1.01.01.07.0001,3500000,300000,300000,300000,1100000,300000,300000,300000,300000,300000,0,0,0,3500000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.08.0001 Belanja Pembulatan Gaji PNS,5.1.01.01.08.0001,23006,1700,1700,1700,1700,6700,4406,1700,1700,1700,0,0,0,23006,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.09.0001 Belanja Iuran Jaminan Kesehatan PNS,5.1.01.01.09.0001,112837000,10000000,10000000,10000000,10000000,22837000,20000000,10000000,10000000,10000000,0,0,0,112837000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.10.0001 Belanja Iuran Jaminan Kecelakaan Kerja PNS,5.1.01.01.10.0001,2780000,250000,250000,250000,250000,580000,450000,250000,250000,250000,0,0,0,2780000,0,
7.01 KECAMATAN,7.01,15.0001 Sekretariat Kec. Ciampea,7.01.0.00.0.00.15.0001,Sekretariat Kec. Ciampea,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.11.0001 Belanja Iuran Jaminan Kematian PNS,5.1.01.01.11.0001,8020000,700000,700000,700000,700000,1900000,1220000,700000,700000,700000,0,0,0,8020000,0,
