nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4442000,2221000,0,0,0,0,0,2221000,0,0,0,0,0,4442000,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,3623000,1812000,0,0,0,0,0,1811000,0,0,0,0,0,3623000,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,720000,360000,0,0,0,0,0,360000,0,0,0,0,0,720000,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1215000,607000,0,0,0,0,0,608000,0,0,0,0,0,1215000,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3109200,1554600,0,0,0,0,0,1554600,0,0,0,0,0,3109200,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,3320800,1660400,0,0,0,0,0,1660400,0,0,0,0,0,3320800,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1120000,560000,0,0,0,0,0,560000,0,0,0,0,0,1120000,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2450000,1225000,0,0,0,0,0,1225000,0,0,0,0,0,2450000,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4475600,0,2240000,0,0,0,0,0,2235600,0,0,0,0,4475600,0,
7.01 KECAMATAN,7.01,01.0001 Sekretariat Kecamatan Cibinong,7.01.0.00.0.00.01.0001,Sekretariat Kecamatan Cibinong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2644400,0,1322000,0,0,0,0,0,1322400,0,0,0,0,2644400,0,
