nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1745000,582000,0,0,0,582000,0,0,0,0,581000,0,0,1745000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2805000,935000,0,0,0,935000,0,0,0,0,935000,0,0,2805000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,22350000,7450000,0,0,0,7450000,0,0,0,0,7450000,0,0,22350000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,8100000,2700000,0,0,0,2700000,0,0,0,0,2700000,0,0,8100000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,360000,0,0,0,0,0,0,0,360000,0,0,0,0,360000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,440000,0,0,0,0,0,0,0,440000,0,0,0,0,440000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,8000000,0,0,0,0,0,0,2000000,2000000,2000000,2000000,0,0,8000000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,1200000,0,0,0,0,0,0,600000,600000,0,0,0,0,1200000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1150000,0,0,0,0,0,0,1150000,0,0,0,0,0,1150000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,960000,0,0,0,0,0,0,0,960000,0,0,0,0,960000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,7040000,0,0,0,0,0,0,4000000,3040000,0,0,0,0,7040000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5100000,0,0,0,0,0,0,2100000,3000000,0,0,0,0,5100000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2000000,1000000,1000000,0,0,0,0,0,0,0,0,0,0,2000000,0,
7.01 KECAMATAN,7.01,38.0001 Sekretariat Kecamatan Cigombong,7.01.0.00.0.00.38.0001,Sekretariat Kecamatan Cigombong,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4800000,1600000,1600000,1600000,0,0,0,0,0,0,0,0,0,4800000,0,
