nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2243700,2243700,0,0,0,0,0,0,0,0,0,0,0,2243700,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,106000,106000,0,0,0,0,0,0,0,0,0,0,0,106000,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4800000,4800000,0,0,0,0,0,0,0,0,0,0,0,4800000,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2850000,2850000,0,0,0,0,0,0,0,0,0,0,0,2850000,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2220050,0,0,2220050,0,0,0,0,0,0,0,0,0,2220050,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,320000,0,0,320000,0,0,0,0,0,0,0,0,0,320000,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4800000,0,0,4800000,0,0,0,0,0,0,0,0,0,4800000,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2650000,0,0,2650000,0,0,0,0,0,0,0,0,0,2650000,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.03 Administrasi Barang Milik Daerah pada Perangkat Daerah,7.01.01.2.03.01,7.01.01.2.03.01 Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,787600,787600,0,0,0,0,0,0,0,0,0,0,0,787600,0,
7.01 KECAMATAN,7.01,22.0000 KECAMATAN CIGUDEG,7.01.0.00.0.00.22.0000,KECAMATAN CIGUDEG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.03 Administrasi Barang Milik Daerah pada Perangkat Daerah,7.01.01.2.03.01,7.01.01.2.03.01 Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,200000,200000,0,0,0,0,0,0,0,0,0,0,0,200000,0,
