nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5598400,5598400,0,0,0,0,0,0,0,0,0,0,0,5598400,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1301600,1301600,0,0,0,0,0,0,0,0,0,0,0,1301600,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3000000,3000000,0,0,0,0,0,0,0,0,0,0,0,3000000,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5100000,5100000,0,0,0,0,0,0,0,0,0,0,0,5100000,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3339600,3339600,0,0,0,0,0,0,0,0,0,0,0,3339600,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,360400,360400,0,0,0,0,0,0,0,0,0,0,0,360400,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1200000,1200000,0,0,0,0,0,0,0,0,0,0,0,1200000,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5100000,5100000,0,0,0,0,0,0,0,0,0,0,0,5100000,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3339600,0,0,0,0,0,3339600,0,0,0,0,0,0,3339600,0,
7.01 KECAMATAN,7.01,28.01 Sekretariat Kecamatan Cijeruk,7.01.0.00.0.00.28.01,Sekretariat Kecamatan Cijeruk,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,360400,0,0,0,0,0,360400,0,0,0,0,0,0,360400,0,
