nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7653000,637750,637750,637750,637750,637750,637750,637750,637750,637750,637750,637750,637750,7653000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1347000,178750,80000,80000,178750,80000,80000,178750,80000,80000,178750,76000,76000,1347000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4800000,600000,600000,0,600000,600000,0,600000,600000,0,600000,600000,0,4800000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.01.01.01.0001 Belanja Gaji Pokok PNS,5.1.01.01.01.0001,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2807700,1403850,0,0,0,0,0,0,0,0,1403850,0,0,2807700,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,639800,319900,0,0,0,0,0,0,0,0,319900,0,0,639800,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12960000,2160000,2160000,2160000,0,0,0,0,0,0,2160000,2160000,2160000,12960000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.01.0016 Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum,5.1.02.02.01.0016,54912000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,4576000,54912000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.01.0028 Belanja Jasa Tenaga Pelayanan Umum,5.1.02.02.01.0028,88680485,7390040,7390040,7390040,7390040,7390040,7390040,7390040,7390041,7390041,7390041,7390041,7390041,88680485,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,13588800,1767400,2264800,2264800,0,0,0,0,0,1012200,1750000,2264800,2264800,13588800,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,8011200,1335200,1335200,1335200,0,0,0,0,0,0,1335200,1335200,1335200,8011200,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12000000,2000000,2000000,2000000,0,0,0,0,0,0,2000000,2000000,2000000,12000000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.01.01.01.0001 Belanja Gaji Pokok PNS,5.1.01.01.01.0001,200,200,0,0,0,0,0,0,0,0,0,0,0,200,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7688000,1282500,1282500,1282500,0,0,0,0,0,0,1282500,1282500,1275500,7688000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1271800,244750,244750,146000,0,0,0,0,0,0,244750,244750,146800,1271800,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2800000,400000,400000,400000,0,0,0,0,0,0,400000,400000,800000,2800000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2040000,340000,340000,340000,0,0,0,0,0,0,340000,340000,340000,2040000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7653000,1275500,0,1275500,0,0,0,0,0,1275500,1275500,1275500,1275500,7653000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1197000,232350,0,133600,0,0,0,0,0,133600,232350,232350,232750,1197000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,600000,0,600000,0,0,0,0,0,0,600000,600000,0,2400000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.05,7.01.01.2.01.05 Koordinasi dan Penyusunan Perubahan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2550000,510000,0,510000,0,0,0,0,0,0,510000,510000,510000,2550000,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5890200,604200,377500,604200,377500,604200,377500,604200,377500,604200,377500,604200,377500,5890200,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1069800,266750,0,0,266750,0,0,266750,0,0,269550,0,0,1069800,0,
7.01 KECAMATAN,7.01,33.01 Sekretariat Kecamatan Ciseeng,7.01.0.00.0.00.33.01,Sekretariat Kecamatan Ciseeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4800000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,4800000,0,
