nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1390000,460000,460000,470000,0,0,0,0,0,0,0,0,0,1390000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1552000,510000,510000,532000,0,0,0,0,0,0,0,0,0,1552000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,800000,800000,800000,0,0,0,0,0,0,0,0,0,2400000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,3800000,1250000,1250000,1300000,0,0,0,0,0,0,0,0,0,3800000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1394200,0,464000,464000,466200,0,0,0,0,0,0,0,0,1394200,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,4625400,0,1540000,1540000,1545400,0,0,0,0,0,0,0,0,4625400,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1200000,0,400000,400000,400000,0,0,0,0,0,0,0,0,1200000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1680000,0,560000,560000,560000,0,0,0,0,0,0,0,0,1680000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1812000,0,0,0,600000,612000,0,0,0,0,600000,0,0,1812000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1863000,0,0,0,620000,623000,0,0,0,0,620000,0,0,1863000,0,
7.01 KECAMATAN,7.01,30.01 Sekretariat Kecamatan Dramaga,7.01.0.00.0.00.30.01,Sekretariat Kecamatan Dramaga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,0,0,0,520000,560000,0,0,0,0,520000,0,0,1600000,0,
