nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,02.0000 KECAMATAN GUNUNG PUTRI,7.01.0.00.0.00.02.0000,KECAMATAN GUNUNG PUTRI,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.06 Administrasi Umum Perangkat Daerah,7.01.01.2.06.01,7.01.01.2.06.01 Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor,5.1.02.02.01.0061 Belanja Tagihan Listrik,5.1.02.02.01.0061,96000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,96000000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1290000,0,0,1290000,0,0,0,0,0,0,0,0,0,1290000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1190000,0,0,1190000,0,0,0,0,0,0,0,0,0,1190000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3200000,0,0,1600000,0,0,1600000,0,0,0,0,0,0,3200000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,4320000,0,4320000,0,0,0,0,0,0,0,0,0,0,4320000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,803700,0,803700,0,0,0,0,0,0,0,0,0,0,803700,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1021300,0,1021300,0,0,0,0,0,0,0,0,0,0,1021300,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1000000,0,1000000,0,0,0,0,0,0,0,0,0,0,1000000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,3175000,0,0,3175000,0,0,0,0,0,0,0,0,0,3175000,0,
7.01 KECAMATAN,7.01,02.0001 Sekretariat Kecamatan Gunung Putri,7.01.0.00.0.00.02.0001,Sekretariat Kecamatan Gunung Putri,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1296800,0,0,0,1296800,0,0,0,0,0,0,0,0,1296800,0,
