nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1669000,1669000,0,0,0,0,0,0,0,0,0,0,0,1669000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1001000,0,0,1001000,0,0,0,0,0,0,0,0,0,1001000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1450000,0,0,1450000,0,0,0,0,0,0,0,0,0,1450000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,10880000,5440000,0,0,0,0,0,5440000,0,0,0,0,0,10880000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1163000,1163000,0,0,0,0,0,0,0,0,0,0,0,1163000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1267000,1267000,0,0,0,0,0,0,0,0,0,0,0,1267000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,600000,600000,0,0,0,0,0,0,0,0,0,0,0,600000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,6970000,6970000,0,0,0,0,0,0,0,0,0,0,0,6970000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2290000,0,0,0,2290000,0,0,0,0,0,0,0,0,2290000,0,
7.01 KECAMATAN,7.01,19.0001 Sekretariat Kecamatan Jasinga,7.01.0.00.0.00.19.0001,Sekretariat Kecamatan Jasinga,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2010000,0,0,0,2010000,0,0,0,0,0,0,0,0,2010000,0,
