nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2463500,1231000,0,0,0,0,0,0,0,0,0,1232500,0,2463500,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,286400,143200,0,0,0,0,0,0,0,0,0,143200,0,286400,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2000000,1000000,0,0,0,0,0,0,0,0,0,1000000,0,2000000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1250000,625000,0,0,0,0,0,0,0,0,0,625000,0,1250000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2859950,0,0,0,0,0,0,0,0,0,0,1400000,1459950,2859950,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,290000,0,0,0,0,0,0,0,0,0,0,145000,145000,290000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,0,0,0,0,0,0,0,0,0,0,800000,800000,1600000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1250000,0,0,0,0,0,0,0,0,0,0,625000,625000,1250000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2867200,1400000,0,0,0,0,0,0,0,0,1467200,0,0,2867200,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,282800,140000,0,0,0,0,0,0,0,0,142800,0,0,282800,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,800000,0,0,0,0,0,0,0,0,800000,0,0,1600000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1250000,625000,0,0,0,0,0,0,0,0,625000,0,0,1250000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2216250,0,0,0,0,0,1100000,0,0,0,0,0,1116250,2216250,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,203600,0,0,0,0,0,100000,0,0,0,0,0,103600,203600,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2080000,0,0,0,0,0,1040000,0,0,0,0,0,1040000,2080000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1500000,0,0,0,0,0,750000,0,0,0,0,0,750000,1500000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2314100,0,0,578000,0,0,580100,0,0,578000,0,0,578000,2314100,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,355600,0,0,88000,0,0,91600,0,0,88000,0,0,88000,355600,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2080000,0,0,520000,0,0,520000,0,0,520000,0,0,520000,2080000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1250000,0,0,312500,0,0,312500,0,0,312500,0,0,312500,1250000,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.01.0001 Belanja Gaji Pokok PNS,5.1.01.01.01.0001,1078259783,89855000,89855000,89855000,89855000,224637400,224637383,89855000,89855000,89855000,0,0,0,1078259783,0,
7.01 KECAMATAN,7.01,06.0001 Sekretariat Kecamatan Jonggol,7.01.0.00.0.00.06.0001,Sekretariat Kecamatan Jonggol,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.02.0001 Belanja Tunjangan Keluarga PNS,5.1.01.01.02.0001,124485280,8891900,8891900,8891900,8891900,31200000,31041980,8891900,8891900,8891900,0,0,0,124485280,0,
