nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,12.0000 KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2184350,0,0,2184350,0,0,0,0,0,0,0,0,0,2184350,0,
7.01 KECAMATAN,7.01,12.0000 KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,940650,0,0,940650,0,0,0,0,0,0,0,0,0,940650,0,
7.01 KECAMATAN,7.01,12.0000 KECAMATAN KEMANG,7.01.0.00.0.00.12.0000,KECAMATAN KEMANG,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,4375000,0,0,4375000,0,0,0,0,0,0,0,0,0,4375000,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4402500,0,4402500,0,0,0,0,0,0,0,0,0,0,4402500,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,786450,0,786450,0,0,0,0,0,0,0,0,0,0,786450,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,8160000,0,8160000,0,0,0,0,0,0,0,0,0,0,8160000,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2652000,0,0,2652000,0,0,0,0,0,0,0,0,0,2652000,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,947850,0,0,947850,0,0,0,0,0,0,0,0,0,947850,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,4250000,0,0,4250000,0,0,0,0,0,0,0,0,0,4250000,0,
7.01 KECAMATAN,7.01,12.0001 Sekretariat Kecamatan Kemang,7.01.0.00.0.00.12.0001,Sekretariat Kecamatan Kemang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,10386000,5193000,5193000,0,0,0,0,0,0,0,0,0,0,10386000,0,
