nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4072800,0,0,1357600,0,1357600,0,0,0,1357600,0,0,0,4072800,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,4831250,0,0,1623750,0,1623750,0,0,0,1583750,0,0,0,4831250,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,17000000,0,0,6480000,0,6480000,0,0,0,4040000,0,0,0,17000000,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,3525000,0,0,3525000,0,0,0,0,0,0,0,0,0,3525000,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,10200000,0,0,10200000,0,0,0,0,0,0,0,0,0,10200000,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,824750,824750,0,0,0,0,0,0,0,0,0,0,0,824750,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1393750,1393750,0,0,0,0,0,0,0,0,0,0,0,1393750,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,2400000,0,0,0,0,0,0,0,0,0,0,0,2400000,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,1175000,1175000,0,0,0,0,0,0,0,0,0,0,0,1175000,0,
7.01 KECAMATAN,7.01,32.01 Sekretariat Kecamatan Klapanunggal,7.01.0.00.0.00.32.01,Sekretariat Kecamatan Klapanunggal,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,3400000,3400000,0,0,0,0,0,0,0,0,0,0,0,3400000,0,
