nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.02 PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7.01.02.2.02 Penyelenggaraan Urusan Pemerintahan yang tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang ada di Kecamatan,7.01.02.2.02.02,7.01.02.2.02.02 Fasilitasi Percepatan Pencapaian Standar Pelayanan Minimal di Wilayah Kecamatan,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5290100,5290100,0,0,0,0,0,0,0,0,0,0,0,5290100,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.02 PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7.01.02.2.02 Penyelenggaraan Urusan Pemerintahan yang tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang ada di Kecamatan,7.01.02.2.02.02,7.01.02.2.02.02 Fasilitasi Percepatan Pencapaian Standar Pelayanan Minimal di Wilayah Kecamatan,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1307600,1307600,0,0,0,0,0,0,0,0,0,0,0,1307600,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.02 PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7.01.02.2.02 Penyelenggaraan Urusan Pemerintahan yang tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang ada di Kecamatan,7.01.02.2.02.02,7.01.02.2.02.02 Fasilitasi Percepatan Pencapaian Standar Pelayanan Minimal di Wilayah Kecamatan,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,3400000,3400000,0,0,0,0,0,0,0,0,0,0,0,3400000,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.05 PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01 Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,7.01.05.2.01.02,"7.01.05.2.01.02 Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,300000,300000,0,0,0,0,0,0,0,0,0,0,0,300000,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.05 PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01 Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,7.01.05.2.01.02,"7.01.05.2.01.02 Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.05 PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01 Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,7.01.05.2.01.02,"7.01.05.2.01.02 Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,2700000,2700000,0,0,0,0,0,0,0,0,0,0,0,2700000,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.05 PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01 Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,7.01.05.2.01.05,7.01.05.2.01.05 Penanganan Konflik Sosial sesuai Ketentuan Peraturan Perundang-Undangan,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.05 PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01 Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,7.01.05.2.01.07,7.01.05.2.01.07 Pelaksanaan semua Urusan Pemerintahan yang bukan merupakan Kewenangan Daerah dan tidak dilaksanakan oleh Instansi Vertikal,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4542250,4542250,0,0,0,0,0,0,0,0,0,0,0,4542250,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.05 PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7.01.05.2.01 Penyelenggaraan Urusan Pemerintahan Umum sesuai Penugasan Kepala Daerah,7.01.05.2.01.07,7.01.05.2.01.07 Pelaksanaan semua Urusan Pemerintahan yang bukan merupakan Kewenangan Daerah dan tidak dilaksanakan oleh Instansi Vertikal,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,5450000,5450000,0,0,0,0,0,0,0,0,0,0,0,5450000,0,
7.01 KECAMATAN,7.01,14.0000 KECAMATAN LEUWILIANG,7.01.0.00.0.00.14.0000,KECAMATAN LEUWILIANG,7.01.06 PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA,"7.01.06.2.01 Fasilitasi, Rekomendasi dan Koordinasi Pembinaan dan Pengawasan Pemerintahan Desa",7.01.06.2.01.02,7.01.06.2.01.02 Fasilitasi Administrasi Tata Pemerintahan Desa,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1240000,1240000,0,0,0,0,0,0,0,0,0,0,0,1240000,0,
