nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2553000,212750,212750,212750,212750,212750,212750,212750,212750,212750,212750,212750,212750,2553000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,197000,0,0,197000,0,0,0,0,0,0,0,0,0,197000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,250000,0,0,250000,0,0,0,0,0,0,0,0,0,250000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3430450,285870,285870,285870,285870,285870,285870,285870,285870,285870,285870,285870,285880,3430450,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,872000,200000,200000,200000,0,0,272000,0,0,0,0,0,0,872000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,1600000,320000,320000,320000,0,0,320000,120000,200000,0,0,0,0,1600000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1220000,244000,244000,244000,0,0,244000,144000,100000,0,0,0,0,1220000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,863350,0,0,172670,0,0,172670,172670,172670,172670,0,0,0,863350,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,590000,0,0,118000,0,0,118000,118000,118000,118000,0,0,0,590000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1696400,0,0,1696400,0,0,0,0,0,0,0,0,0,1696400,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,303600,0,0,303600,0,0,0,0,0,0,0,0,0,303600,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.01.0001 Belanja Gaji Pokok PNS,5.1.01.01.01.0001,743752000,54125143,54125143,54125143,108250284,131812858,185938000,53125143,51125143,51125143,0,0,0,743752000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.02.0001 Belanja Tunjangan Keluarga PNS,5.1.01.01.02.0001,99434000,7102429,7102429,7102429,14204858,17755969,24858599,7102429,7102429,7102429,0,0,0,99434000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.03.0001 Belanja Tunjangan Jabatan PNS,5.1.01.01.03.0001,82880000,5920000,5920000,5920000,11840000,11840000,23680000,5920000,5920000,5920000,0,0,0,82880000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.05.0001 Belanja Tunjangan Fungsional Umum PNS,5.1.01.01.05.0001,12670000,905000,905000,905000,1810000,1810000,3620000,905000,905000,905000,0,0,0,12670000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.06.0001 Belanja Tunjangan Beras PNS,5.1.01.01.06.0001,48796000,3485428,3485428,3485428,6970857,6970857,13941718,3485428,3485428,3485428,0,0,0,48796000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.07.0001 Belanja Tunjangan PPh/Tunjangan Khusus PNS,5.1.01.01.07.0001,6164000,440285,440285,440285,880571,880571,1761148,440285,440285,440285,0,0,0,6164000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.08.0001 Belanja Pembulatan Gaji PNS,5.1.01.01.08.0001,42000,3000,3000,3000,6000,6000,12000,3000,3000,3000,0,0,0,42000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.09.0001 Belanja Iuran Jaminan Kesehatan PNS,5.1.01.01.09.0001,63799000,5316583,5316583,5316583,10633166,10633166,10633170,5316583,5316583,5316583,0,0,0,63799000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.10.0001 Belanja Iuran Jaminan Kecelakaan Kerja PNS,5.1.01.01.10.0001,2006000,167166,167166,167166,334333,334333,334338,167166,167166,167166,0,0,0,2006000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.01.11.0001 Belanja Iuran Jaminan Kematian PNS,5.1.01.01.11.0001,7318000,609833,609833,609833,1219666,1219666,1219670,609833,609833,609833,0,0,0,7318000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.02.01.0001 Tambahan Penghasilan berdasarkan Beban Kerja PNS,5.1.01.02.01.0001,1734000000,144500000,144500000,144500000,289000000,289000000,289000000,144500000,144500000,144500000,0,0,0,1734000000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.01,7.01.01.2.02.01 Penyediaan Gaji dan Tunjangan ASN,5.1.01.02.05.0001 Tambahan Penghasilan berdasarkan Prestasi Kerja PNS,5.1.01.02.05.0001,6000000,1200000,1200000,1200000,1200000,1200000,0,0,0,0,0,0,0,6000000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.05,7.01.01.2.02.05 Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,727850,0,0,727850,0,0,0,0,0,0,0,0,0,727850,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.05,7.01.01.2.02.05 Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,200000,0,0,200000,0,0,0,0,0,0,0,0,0,200000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.06,7.01.01.2.02.06 Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2002400,200240,200240,200240,0,0,200240,200240,200240,200240,200240,200240,200240,2002400,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.06,7.01.01.2.02.06 Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,336600,0,0,336600,0,0,0,0,0,0,0,0,0,336600,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.07,7.01.01.2.02.07 Koordinasi dan Penyusunan Laporan Keuangan Bulanan/Triwulanan/Semesteran SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,4952400,495240,495240,495240,0,0,495240,495240,495240,495240,495240,495240,495240,4952400,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.07,7.01.01.2.02.07 Koordinasi dan Penyusunan Laporan Keuangan Bulanan/Triwulanan/Semesteran SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,480000,160000,160000,160000,0,0,0,0,0,0,0,0,0,480000,0,
7.01 KECAMATAN,7.01,39.0001 Sekretariat Kecamatan Leuwisadeng,7.01.0.00.0.00.39.0001,Sekretariat Kecamatan Leuwisadeng,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,7.01.01.2.02 Administrasi Keuangan Perangkat Daerah,7.01.01.2.02.07,7.01.01.2.02.07 Koordinasi dan Penyusunan Laporan Keuangan Bulanan/Triwulanan/Semesteran SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,7260000,726000,726000,726000,0,0,726000,726000,726000,726000,726000,726000,726000,7260000,0,
