nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,934000,934000,0,0,0,0,0,0,0,0,0,0,0,934000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,466000,466000,0,0,0,0,0,0,0,0,0,0,0,466000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3600000,1000000,0,0,800000,0,0,800000,0,0,1000000,0,0,3600000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,934000,934000,0,0,0,0,0,0,0,0,0,0,0,934000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,466000,466000,0,0,0,0,0,0,0,0,0,0,0,466000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3600000,1000000,0,0,800000,0,0,800000,0,0,1000000,0,0,3600000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1080000,1080000,0,0,0,0,0,0,0,0,0,0,0,1080000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,320000,320000,0,0,0,0,0,0,0,0,0,0,0,320000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3600000,1000000,0,0,800000,0,0,1000000,0,0,800000,0,0,3600000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1080000,1080000,0,0,0,0,0,0,0,0,0,0,0,1080000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,320000,320000,0,0,0,0,0,0,0,0,0,0,0,320000,0,
7.01 KECAMATAN,7.01,17.0000 KECAMATAN PAMIJAHAN,7.01.0.00.0.00.17.0000,KECAMATAN PAMIJAHAN,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3600000,1000000,0,0,800000,0,0,1000000,0,0,800000,0,0,3600000,0,
