nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1441800,0,1441800,0,0,0,0,0,0,0,0,0,0,1441800,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1458200,0,1458200,0,0,0,0,0,0,0,0,0,0,1458200,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3360000,0,3360000,0,0,0,0,0,0,0,0,0,0,3360000,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,8740000,0,8740000,0,0,0,0,0,0,0,0,0,0,8740000,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1521650,0,0,0,0,0,0,0,0,1521650,0,0,0,1521650,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1353150,0,0,0,0,0,0,0,0,1353150,0,0,0,1353150,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4000000,0,0,0,0,0,0,0,0,4000000,0,0,0,4000000,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,13125000,0,0,0,0,0,0,0,0,13125000,0,0,0,13125000,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2519200,0,0,0,0,0,0,0,0,2519200,0,0,0,2519200,0,
7.01 KECAMATAN,7.01,20.0001 Sekretariat Kecamatan Parung Panjang,7.01.0.00.0.00.20.0001,Sekretariat Kecamatan Parung Panjang,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1400800,0,0,0,0,0,0,0,0,1400800,0,0,0,1400800,0,
