nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7572400,2600000,0,0,2600000,0,0,2372400,0,0,0,0,0,7572400,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,320000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,0,0,320000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,8000000,2000000,0,0,2000000,0,0,2000000,0,0,2000000,0,0,8000000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,725000,185000,0,0,180000,0,0,180000,0,0,180000,0,0,725000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,8027750,0,0,3027750,0,0,2500000,0,0,2500000,0,0,0,8027750,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,950000,0,0,350000,0,0,300000,0,0,300000,0,0,0,950000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,3000000,0,0,1000000,0,0,1000000,0,0,1000000,0,0,0,3000000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,1750000,0,0,850000,0,0,450000,0,0,450000,0,0,0,1750000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3156000,0,0,1156000,0,0,1000000,0,0,1000000,0,0,0,3156000,0,
7.01 KECAMATAN,7.01,10.0001 Sekretariat Kecamatan Parung,7.01.0.00.0.00.10.0001,Sekretariat Kecamatan Parung,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1200000,0,0,600000,0,0,600000,0,0,0,0,0,0,1200000,0,
