nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2272800,0,0,1136400,0,0,0,1136400,0,0,0,0,0,2272800,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,727200,0,0,363600,0,0,0,363600,0,0,0,0,0,727200,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,12000000,0,0,6000000,0,0,0,6000000,0,0,0,0,0,12000000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1818000,909000,0,0,0,0,0,0,909000,0,0,0,0,1818000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,782000,390000,0,0,0,0,0,0,392000,0,0,0,0,782000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,1200000,0,0,0,0,0,0,1200000,0,0,0,0,2400000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1818000,0,909000,0,0,0,0,0,0,909000,0,0,0,1818000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,782000,0,390000,0,0,0,0,0,0,392000,0,0,0,782000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,2400000,0,1200000,0,0,0,0,0,0,1200000,0,0,0,2400000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,5079000,0,0,1342350,0,1278250,0,1342350,0,0,0,1116050,0,5079000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1560800,0,0,390000,0,390000,0,390000,0,0,0,390800,0,1560800,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,14400000,0,0,3600000,0,3600000,0,3600000,0,0,0,3600000,0,14400000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,"5.1.02.02.01.0055 Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",5.1.02.02.01.0055,20000000,0,4000000,0,4000000,0,8000000,0,4000000,0,0,0,0,20000000,0,
7.01 KECAMATAN,7.01,34.01 Sekretariat Kecamatan Rancabungur,7.01.0.00.0.00.34.01,Sekretariat Kecamatan Rancabungur,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.07,7.01.01.2.01.07 Evaluasi Kinerja Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1818000,0,454500,0,0,454500,0,0,454500,0,0,454500,0,1818000,0,
