nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3207250,1534250,67100,371750,862400,202650,0,84550,0,84550,0,0,0,3207250,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,350000,0,0,87500,0,0,87500,0,0,87500,0,0,87500,350000,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0055 Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",5.1.02.02.01.0055,10000000,0,0,0,0,0,0,0,0,0,10000000,0,0,10000000,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,6120000,510000,510000,510000,510000,510000,510000,510000,510000,510000,510000,510000,510000,6120000,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,284300,0,284300,0,0,0,0,0,0,0,0,0,0,284300,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.02.01.0028 Belanja Jasa Tenaga Pelayanan Umum,5.1.02.02.01.0028,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663346,2663346,31960162,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1050000,170000,0,170000,0,170000,0,170000,0,170000,0,170000,30000,1050000,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,3541500,0,1509150,0,0,571500,0,0,571500,571500,0,317850,0,3541500,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,3060000,0,0,0,0,0,510000,510000,510000,510000,510000,510000,0,3060000,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,777850,0,0,0,0,142150,0,0,317850,0,0,317850,0,777850,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.02.01.0028 Belanja Jasa Tenaga Pelayanan Umum,5.1.02.02.01.0028,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663346,2663346,31960162,0,
7.01 KECAMATAN,7.01,18.0001 Sekretariat Kecamatan Rumpin,7.01.0.00.0.00.18.0001,Sekretariat Kecamatan Rumpin,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.06,7.01.01.2.01.06 Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,4080000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,4080000,0,
