nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7775950,1943750,0,0,1943750,0,0,1943750,0,0,1944700,0,0,7775950,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,974000,487000,0,0,487000,0,0,0,0,0,0,0,0,974000,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,4250000,4250000,0,0,0,0,0,0,0,0,0,0,0,4250000,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,7611900,1900000,0,0,1900000,0,0,1900000,0,0,1911900,0,0,7611900,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,450400,450400,0,0,0,0,0,0,0,0,0,0,0,450400,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,4250000,4250000,0,0,0,0,0,0,0,0,0,0,0,4250000,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2961150,1961150,0,0,0,0,0,1000000,0,0,0,0,0,2961150,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,918800,0,500000,0,0,0,0,0,418800,0,0,0,0,918800,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.03,7.01.01.2.01.03 Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,6120000,6120000,0,0,0,0,0,0,0,0,0,0,0,6120000,0,
7.01 KECAMATAN,7.01,04.0001 Sekretaariat Kecamatan Sukaraja,7.01.0.00.0.00.04.0001,Sekretaariat Kecamatan Sukaraja,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,6652500,6652500,0,0,0,0,0,0,0,0,0,0,0,6652500,0,
