nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,8547600,3907600,0,0,4640000,0,0,0,0,0,0,0,0,8547600,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2587400,2587400,0,0,0,0,0,0,0,0,0,0,0,2587400,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,14400000,800000,800000,4000000,800000,2000000,2000000,1600000,800000,1600000,0,0,0,14400000,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.04.0118 Belanja Sewa Mebel,5.1.02.02.04.0118,1600000,0,0,1600000,0,0,0,0,0,0,0,0,0,1600000,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.04.0132 Belanja Sewa Peralatan Studio Audio,5.1.02.02.04.0132,1500000,0,0,1500000,0,0,0,0,0,0,0,0,0,1500000,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.04.0355 Belanja Sewa Peralatan Umum,5.1.02.02.04.0355,1125000,0,0,1125000,0,0,0,0,0,0,0,0,0,1125000,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,20240000,10120000,0,0,0,0,10120000,0,0,0,0,0,0,20240000,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1178600,0,0,0,0,1178600,0,0,0,0,0,0,0,1178600,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1196400,0,0,0,0,1196400,0,0,0,0,0,0,0,1196400,0,
7.01 KECAMATAN,7.01,31.01 Sekretariat Kecamatan Tamansari,7.01.0.00.0.00.31.01,Sekretariat Kecamatan Tamansari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4000000,0,0,0,0,4000000,0,0,0,0,0,0,0,4000000,0,
