nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,2609500,2609500,0,0,0,0,0,0,0,0,0,0,0,2609500,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,2394000,0,0,0,0,0,0,0,0,0,0,800000,1594000,2394000,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,4000000,0,0,0,0,0,0,650000,1050000,950000,1050000,300000,0,4000000,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.01,7.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,10995000,0,1125000,1125000,0,1110000,825000,1110000,1110000,1155000,1140000,1140000,1155000,10995000,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1685550,1685550,0,0,0,0,0,0,0,0,0,0,0,1685550,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,404400,404400,0,0,0,0,0,0,0,0,0,0,0,404400,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,800000,400000,400000,0,0,0,0,0,0,0,0,0,0,800000,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.02,7.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,1110000,555000,555000,0,0,0,0,0,0,0,0,0,0,1110000,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,1842250,1842250,0,0,0,0,0,0,0,0,0,0,0,1842250,0,
7.01 KECAMATAN,7.01,36.01 Sekretariat Kecamatan Tanjungsari,7.01.0.00.0.00.36.01,Sekretariat Kecamatan Tanjungsari,7.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"7.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",7.01.01.2.01.04,7.01.01.2.01.04 Koordinasi dan Penyusunan DPA-SKPD,5.1.02.04.01.0003 Belanja Perjalanan Dinas Dalam Kota,5.1.02.04.01.0003,5160000,5160000,0,0,0,0,0,0,0,0,0,0,0,5160000,0,
