nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1750000,0,0,0,875000,0,0,0,0,0,0,0,875000,1750000,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,87834100,0,0,87834100,0,0,0,0,0,0,0,0,0,87834100,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,43301772,0,0,31791234,0,0,0,0,0,0,4000000,4010538,3500000,43301772,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0030 Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,5.1.02.01.01.0030,5000000,0,0,5000000,0,0,0,0,0,0,0,0,0,5000000,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,10660000,0,0,5500000,0,0,4000000,0,0,640000,0,0,520000,10660000,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,"5.1.02.02.01.0003 Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",5.1.02.02.01.0003,8000000,0,0,8000000,0,0,0,0,0,0,0,0,0,8000000,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,31960162,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663347,2663345,31960162,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.01,4.01.01.2.01.01 Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.04.01.0001 Belanja Perjalanan Dinas Biasa,5.1.02.04.01.0001,65673000,0,0,0,0,0,65673000,0,0,0,0,0,0,65673000,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.02,4.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1750000,0,0,0,875000,0,0,0,0,0,0,0,875000,1750000,0,
4.01 SEKRETARIAT DAERAH,4.01,01.0002 Bagian Umum,4.01.0.00.0.00.01.0002,Bagian Umum,4.01.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,"4.01.01.2.01 Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01.2.01.02,4.01.01.2.01.02 Koordinasi dan Penyusunan Dokumen RKA-SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,23424300,0,0,23424300,0,0,0,0,0,0,0,0,0,23424300,0,
