nama_bidang_urusan,kode_bidang_urusan,nama_skpd,kode_sub_skpd,nama_sub_skpd,nama_program,nama_giat,kode_sub_giat,nama_sub_giat,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03 Administrasi Barang Milik Daerah pada Perangkat Daerah,4.02.01.2.03.01,4.02.01.2.03.01 Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,1325000,0,0,1325000,0,0,0,0,0,0,0,0,0,1325000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03 Administrasi Barang Milik Daerah pada Perangkat Daerah,4.02.01.2.03.01,4.02.01.2.03.01 Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,14023000,14023000,0,0,0,0,0,0,0,0,0,0,0,14023000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03 Administrasi Barang Milik Daerah pada Perangkat Daerah,4.02.01.2.03.01,4.02.01.2.03.01 Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,10582800,0,10582800,0,0,0,0,0,0,0,0,0,0,10582800,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.03 Administrasi Barang Milik Daerah pada Perangkat Daerah,4.02.01.2.03.01,4.02.01.2.03.01 Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,5.1.02.02.01.0026 Belanja Jasa Tenaga Administrasi,5.1.02.02.01.0026,170416647,14201388,14201388,14201388,14201388,14201388,14201388,14201388,14201388,14201388,14201388,14201387,14201380,170416647,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.01,4.02.01.2.05.01 Peningkatan Sarana dan Prasarana Disiplin Pegawai,5.1.02.01.01.0024 Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,5.1.02.01.01.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.01,4.02.01.2.05.01 Peningkatan Sarana dan Prasarana Disiplin Pegawai,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.01,4.02.01.2.05.01 Peningkatan Sarana dan Prasarana Disiplin Pegawai,5.1.02.01.01.0052 Belanja Makanan dan Minuman Rapat,5.1.02.01.01.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.02,4.02.01.2.05.02 Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,5.1.01.03.07.0002 Belanja Honorarium Pengadaan Barang/Jasa,5.1.01.03.07.0002,4025000,0,0,0,0,4025000,0,0,0,0,0,0,0,4025000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.02,4.02.01.2.05.02 Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,5.1.02.01.01.0026 Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,5.1.02.01.01.0026,1575000,0,0,0,1575000,0,0,0,0,0,0,0,0,1575000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.02,4.02.01.2.05.02 Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,5.1.02.01.01.0063 Belanja Pakaian Dinas Harian (PDH),5.1.02.01.01.0063,80040000,0,80040000,0,0,0,0,0,0,0,0,0,0,80040000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.02,4.02.01.2.05.02 Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,5.1.02.01.01.0064 Belanja Pakaian Dinas Lapangan (PDL),5.1.02.01.01.0064,21400000,0,21400000,0,0,0,0,0,0,0,0,0,0,21400000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.02,4.02.01.2.05.02 Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,5.1.02.01.01.0073 Belanja Pakaian KORPRI,5.1.02.01.01.0073,28830000,0,0,28830000,0,0,0,0,0,0,0,0,0,28830000,0,
4.02 SEKRETARIAT DPRD,4.02,01.0001 Bagian Umum,4.02.0.00.0.00.01.0001,Bagian Umum,4.02.01 PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4.02.01.2.05 Administrasi Kepegawaian Perangkat Daerah,4.02.01.2.05.02,4.02.01.2.05.02 Pengadaan Pakaian Dinas Beserta Atribut Kelengkapannya,5.1.02.01.01.0075 Belanja Pakaian Batik Tradisional,5.1.02.01.01.0075,20600000,0,20600000,0,0,0,0,0,0,0,0,0,0,20600000,0,
