id_unit,id_akun,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1414,4088,4.1.01.06.01.0001,4.1.01.06.01.0001 Pajak Hotel,81580779000,6893446480,4807271887,4807271888,3104428475,4191140196,6277314789,8546623065,8726302355,8726302355,8335391896,8998412084,8166873530,81580779000,0,
1414,4096,4.1.01.06.05.0001,4.1.01.06.05.0001 Pajak Wisma Pariwisata,3382199000,285790453,199301237,199301237,128704273,173757475,260246691,354328315,361777510,361777510,345571034,373058712,338584553,3382199000,0,
1414,4100,4.1.01.06.07.0001,4.1.01.06.07.0001 Pajak Rumah Penginapan dan Sejenisnya,4625596000,390855529,272570304,272570303,176019794,237635893,355921119,484589948,494777689,494777688,472613229,510206196,463058308,4625596000,0,
1414,4102,4.1.01.06.08.0001,4.1.01.06.08.0001 Pajak Rumah Kos dengan Jumlah Kamar Lebih dari 10 (Sepuluh),353942000,29907537,20856572,20856572,13468707,18183456,27234422,37079921,37859469,37859468,36163485,39040029,35432362,353942000,0,
1414,4105,4.1.01.07.01.0001,4.1.01.07.01.0001 Pajak Restoran dan Sejenisnya,11227491000,942535056,449516719,478517797,703495513,779623345,783248480,1037007917,1073259266,1153012232,1339341460,1344388816,1143544399,11227491000,0,
1414,4107,4.1.01.07.02.0001,4.1.01.07.02.0001 Pajak Rumah Makan dan Sejenisnya,125790053000,10559931391,5036274971,5361195937,7881791035,8734708570,8775323691,11618382142,12024533350,12918066005,15005652928,15062202271,12811990709,125790053000,0,
1414,4109,4.1.01.07.03.0001,4.1.01.07.03.0001 Pajak Kafetaria dan Sejenisnya,15275918000,1282395882,611604190,651062524,957163072,1060741201,1065673492,1410933923,1460256841,1568767262,1822283387,1829150727,1555885499,15275918000,0,
1414,4117,4.1.01.07.07.0001,4.1.01.07.07.0001 Pajak Jasa Boga/Katering dan Sejenisnya,2562723000,215137671,102604120,109223740,160575869,177952373,178779827,236701507,244976033,263179990,305710436,306862516,261018918,2562723000,0,
1414,4120,4.1.01.08.01.0001,4.1.01.08.01.0001 Pajak Tontonan Film,6744225000,244420794,124121388,153744631,274044037,280071948,398564920,714546179,724420594,842913565,813290323,989648690,1184437931,6744225000,0,
1414,4122,4.1.01.08.02.0001,4.1.01.08.02.0001 Pajak Pagelaran Kesenian/Musik/Tari/ Busana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1414,4126,4.1.01.08.04.0001,4.1.01.08.04.0001 Pajak Pameran,47784585000,1731784778,879432260,1089320627,1941673146,1984382462,2823935932,5062745185,5132707975,5972261445,5762373077,7011917895,8392050218,47784585000,0,
1414,4128,4.1.01.08.05.0001,"4.1.01.08.05.0001 Pajak Diskotik, Karaoke, Klub Malam, dan Sejenisnya",1104003000,40010719,20318181,25167389,44859926,45846672,65243503,116968387,118584791,137981622,133132414,162001583,193887813,1104003000,0,
1414,4132,4.1.01.08.07.0001,4.1.01.08.07.0001 Pajak Permainan Biliar dan Bowling,28708000,1040420,528344,654442,1166517,1192176,1696562,3041593,3083626,3588012,3461915,4212619,5041774,28708000,0,
1414,4134,4.1.01.08.08.0001,"4.1.01.08.08.0001 Pajak Pacuan Kuda, Kendaraan Bermotor, dan Permainan Ketangkasan",10784591000,390849696,198480686,245850778,438219789,447858932,637339302,1142620286,1158410316,1347890685,1300520593,1582532664,1894017273,10784591000,0,
